email_text,label
Congratulations! You won a free iPhone. Click now.,spam
Win cash prize worth $5000 today.,spam
Get a 90% discount on all products.,spam
Claim your lottery reward immediately.,spam
Limited offer! Buy one get one free.,spam
Urgent! Verify your bank account now.,spam
You have been selected for a free vacation.,spam
Earn money from home with this simple trick.,spam
Exclusive deal just for you.,spam
Click here to receive your reward.,spam
Meeting scheduled tomorrow at 10 AM.,ham
Project review has been postponed.,ham
Please submit your assignment by Friday.,ham
Your order has been successfully delivered.,ham
Thank you for your payment.,ham
Let's have lunch tomorrow.,ham
The report is attached for your reference.,ham
Your interview is scheduled for Monday.,ham
Happy Birthday! Have a wonderful day.,ham
Please attend the team meeting.,ham
Congratulations  you have won a gift card.,spam
Free entry in a lucky draw.,spam
Lowest prices available today.,spam
Your account has won a bonus reward.,spam
Get rich quickly with our program.,spam
You have received a special offer.,spam
Act now before the offer expires.,spam
Win big prizes instantly.,spam
Congratulations on your lottery selection.,spam
Click to claim your free voucher.,spam
The class starts at 9 AM tomorrow.,ham
Please review the attached document.,ham
Your salary has been credited.,ham
Thank you for registering.,ham
Meeting minutes have been shared.,ham
The workshop begins next week.,ham
Your train ticket is confirmed.,ham
Please update the project status.,ham
The exam timetable is published.,ham
Lunch has been arranged for all employees.,ham
You are selected for a free shopping voucher.,spam
Earn thousands without investment.,spam
Special discount available now.,spam
Free movie tickets waiting for you.,spam
Limited-time cashback offer.,spam
Claim your bonus reward today.,spam
Exclusive reward unlocked for you.,spam
Win a brand new smartphone.,spam
Get instant approval for your loan.,spam
You have received a free coupon.,spam
