review,sentiment
This movie was amazing and entertaining.,positive
I loved every minute of this film.,positive
The acting was brilliant.,positive
Excellent storyline and great performances.,positive
A masterpiece of modern cinema.,positive
This movie was boring and slow.,negative
I wasted my time watching this.,negative
Terrible acting and poor direction.,negative
The plot made no sense.,negative
One of the worst movies ever made.,negative
Amazing visuals and fantastic music.,positive
The characters were well developed.,positive
I really enjoyed the film.,positive
The ending was satisfying.,positive
Great movie and worth watching.,positive
Bad screenplay and weak story.,negative
The movie was too long and dull.,negative
Very disappointing experience.,negative
I did not enjoy the movie.,negative
Poor acting ruined the film.,negative
